TRIBUNAL,UF,MUNICIPIO,CODIGO,NOME,TIPO,CLASSIFICACAO
TJSP,SP,OURINHOS,10000,03 CIVEL DE OURINHOS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,OURINHOS,10001,SAF DE OURINHOS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,OURINHOS,10002,01 CRIMINAL DE OURINHOS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,OURINHOS,10003,02 CRIMINAL DE OURINHOS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PACAEMBU,10004,JUIZADO ESPECIAL CIVEL CRIM. DE PACAEMBU,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PACAEMBU,10005,01 CUMULATIVA DE PACAEMBU,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PALESTINA,10006,JUIZADO ESPECIAL CIVEL CRIM. DE PALESTINA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PALESTINA,10007,VARA UNICA DE PALESTINA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PALMEIRA D'OESTE,10008,JUIZADO ESPECIAL CIVEL CRIM. DE PALMEIRA D OESTE,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PALMEIRA D'OESTE,10009,VARA UNICA DE PALMEIRA D OESTE,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PALMITAL,10011,JUIZADO ESPECIAL CIVEL DE PALMITAL,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PALMITAL,10012,01 CUMULATIVA DE PALMITAL,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PALMITAL,10013,02 CUMULATIVA DE PALMITAL,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PANORAMA,10014,JUIZADO ESPECIAL CIVEL CRIM. DE PANORAMA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PANORAMA,10015,01 CUMULATIVA DE PANORAMA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PARAGUACU PAULISTA,10016,JUIZADO ESPECIAL CIVEL CRIM. DE PARAGUACU PAULISTA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PARAGUACU PAULISTA,10017,01 CUMULATIVA DE PARAGUACU PAULISTA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PARAGUACU PAULISTA,10018,02 CUMULATIVA DE PARAGUACU PAULISTA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PARAGUACU PAULISTA,10019,03 CUMULATIVA DE PARAGUACU PAULISTA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PARAIBUNA,10020,VARA UNICA DE PARAIBUNA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PARAIBUNA,10021,JUIZADO ESPECIAL CIVEL CRIM. DE PARAIBUNA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PATROCINIO PAULISTA,10022,VARA UNICA DE PATROCINIO PAULISTA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PAULO DE FARIA,10023,JUIZADO ESPECIAL CIVEL CRIM. DE PAULO DE FARIA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PAULO DE FARIA,10024,VARA UNICA DE PAULO DE FARIA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PEDERNEIRAS,10025,JUIZADO ESPECIAL CIVEL E CRIMINAL DE PEDERNEIRAS,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PEDERNEIRAS,10026,01 CUMULATIVA DE PEDERNEIRAS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PEDERNEIRAS,10027,02 CUMULATIVA DE PEDERNEIRAS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PEDREGULHO,10028,JUIZADO ESPECIAL CIVEL CRIM. DE PEDREGULHO,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PEDREGULHO,10029,VARA UNICA DE PEDREGULHO,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PEDREIRA,10030,JUIZADO ESPECIAL CIVEL CRIM. DE PEDREIRA,Unidades judiciárias de primeiro grau,JE - Juizado Especial
TJSP,SP,PEDREIRA,10031,01 CUMULATIVA DE PEDREIRA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PEDREIRA,10032,02 CUMULATIVA DE PEDREIRA,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PENAPOLIS,10033,01 CUMULATIVA DE PENAPOLIS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PENAPOLIS,10034,02 CUMULATIVA DE PENAPOLIS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PENAPOLIS,10035,03 CUMULATIVA DE PENAPOLIS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PENAPOLIS,10036,04 CUMULATIVA DE PENAPOLIS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PENAPOLIS,10037,SEF DE PENAPOLIS,Unidades judiciárias de primeiro grau,V - Vara
TJSP,SP,PENAPOLIS,10038,VARA JUIZADO ESP. CIVEL CRIM. DE PENAPOLIS,Unidades judiciárias de primeiro grau,JE - Juizado Especial
