CODIGO,SIGLA,DESCRICAO,URL,SITUACAO
01,TJAC,Tribunal de Justiça do Acre,https://api-publica.datajud.cnj.jus.br/api_publica_tjac/_search,1
02,TJAL,Tribunal de Justiça de Alagoas,https://api-publica.datajud.cnj.jus.br/api_publica_tjal/_search,1
03,TJAP,Tribunal de Justiça do Amazonas,https://api-publica.datajud.cnj.jus.br/api_publica_tjap/_search,1
04,TJAM,Tribunal de Justiça do Amapá,https://api-publica.datajud.cnj.jus.br/api_publica_tjam/_search,1
05,TJBA,Tribunal de Justiça da Bahia,https://api-publica.datajud.cnj.jus.br/api_publica_tjba/_search,1
06,TJCE,Tribunal de Justiça do Ceará,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,1
07,TJDF,Tribunal de Justiça do Distrito Federal e Territórios,https://api-publica.datajud.cnj.jus.br/api_publica_tjdf/_search,1
08,TJES,Tribunal de Justiça do Espírito Santo,https://api-publica.datajud.cnj.jus.br/api_publica_tjes/_search,1
09,TJGO,Tribunal de Justiça do Goiás,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,1
10,TJMA,Tribunal de Justiça do Maranhão,https://api-publica.datajud.cnj.jus.br/api_publica_tjma/_search,1
11,TJMT,Tribunal de Justiça de Minas Gerais,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,1
12,TJMS,Tribunal de Justiça Mato Grosso de Sul,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,1
13,TJMG,Tribunal de Justiça do Mato Grosso,https://api-publica.datajud.cnj.jus.br/api_publica_tjmg/_search,1
14,TJPA,Tribunal de Justiça do Pará,https://api-publica.datajud.cnj.jus.br/api_publica_tjpa/_search,1
15,TJPB,Tribunal de Justiça da Paraíba,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,1
16,TJPR,Tribunal de Justiça de Pernambuco,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,1
17,TJPE,Tribunal de Justiça do Piauí,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,1
18,TJPI,Tribunal de Justiça do Paraná,https://api-publica.datajud.cnj.jus.br/api_publica_tjpi/_search,1
19,TJRJ,Tribunal de Justiça do Rio de Janeiro,https://api-publica.datajud.cnj.jus.br/api_publica_tjrj/_search,1
20,TJRN,Tribunal de Justiça do Rio Grande do Norte,https://api-publica.datajud.cnj.jus.br/api_publica_tjrn/_search,1
21,TJRS,Tribunal de Justiça de Rondônia,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,1
22,TJRO,Tribunal de Justiça de Roraima,https://api-publica.datajud.cnj.jus.br/api_publica_tjro/_search,1
23,TJRR,Tribunal de Justiça do Rio Grande do Sul,https://api-publica.datajud.cnj.jus.br/api_publica_tjrr/_search,1
24,TJSC,Tribunal de Justiça de Santa Catarina,https://api-publica.datajud.cnj.jus.br/api_publica_tjsc/_search,1
25,TJSE,Tribunal de Justiça de Sergipe,https://api-publica.datajud.cnj.jus.br/api_publica_tjse/_search,1
26,TJSP,Tribunal de Justiça de São Paulo,https://api-publica.datajud.cnj.jus.br/api_publica_tjsp/_search,1
27,TJTO,Tribunal de Justiça do Tocantins,https://api-publica.datajud.cnj.jus.br/api_publica_tjto/_search,1

